Employee_ID,Hire_Date,Age,Gender,Marital_Status,Region,Education_Level,Department,Employment_Type,Shift,Tenure_Years,Monthly_Salary_PHP,Performance_Score,Performance_Rating,Training_Hours_YTD,Absences_YTD,Overtime_Hours_Monthly,Distance_Office_KM,Job_Satisfaction_Score,Work_Life_Balance_Score,Num_Promotions,Prev_Companies,Attrition,Hire_Year,Salary_Bracket,Age_Group,High_Performer,Engagement_Score,Promotion_Rate,Overtime_Intensity,Tenure_Squared,Salary_Per_Tenure,Employment_Risk,Is_Regular,Perf_Rating_Numeric,Shift_Risk,Dept_Salary_Ratio,Satisfaction_x_Performance,Tenure_x_Promotions,Absence_Rate,Salary_x_Satisfaction,Education_Numeric,Tenure_x_Education,Career_Start_Age,Stagnation_Flag,Attrition_Risk_Score,Stability_Score,Education_Level_Encoded,Performance_Rating_Encoded,Gender_Encoded,Marital_Status_Encoded,Region_Encoded,Department_Encoded,Employment_Type_Encoded,Shift_Encoded,Salary_Bracket_Encoded,Age_Group_Encoded,Overtime_Intensity_Encoded
EMP01878,2023-10-06,31.0,Female,Single,NCR,Bachelor,IT,Regular,Afternoon,9.1,54500.0,5.0,Outstanding,56.0,6,17,14.0,5.7,5.3,3,1,0,2023,High,Mid-Career (31-45),1,5.5,0.32967032967032966,Moderate,82.80999999999999,5989.010989010989,0,1,4,1,0.923728813559322,28.5,27.299999999999997,0.6593406593406593,31.065,3,27.299999999999997,21.9,0,1,16.32,3,4,0,2,1,4,2,0,0,0,2
EMP05886,2013-04-05,50.0,Female,Married,NCR,Master,Customer Service,Regular,Morning,21.9,47000.0,3.1,Meets Expectations,37.0,10,18,4.0,3.6,4.8,4,5,0,2013,High,Senior (46+),0,4.2,0.18264840182648404,Moderate,479.60999999999996,2146.1187214611873,0,1,2,0,1.1898734177215189,11.16,87.6,0.4566210045662101,16.92,4,87.6,28.1,0,1,16.58,4,2,0,0,1,1,2,2,0,1,2
EMP03485,2013-02-07,39.0,Male,Single,Region VII,Bachelor,Finance,Contractual,Night,9.9,46000.0,3.8,Exceeds Expectations,42.0,8,20,211.0,5.2,5.9,2,0,0,2013,High,Mid-Career (31-45),0,5.550000000000001,0.20202020202020202,Moderate,98.01,4646.464646464647,1,0,3,2,0.7931034482758621,19.759999999999998,19.8,0.8080808080808081,23.919999999999998,3,29.700000000000003,29.1,0,6,9.530000000000001,3,3,1,2,6,2,0,3,0,0,2
EMP03289,2022-01-07,55.0,Female,Married,Region XI,Vocational,Finance,Contractual,Graveyard,17.3,50000.0,4.0,Exceeds Expectations,42.0,7,23,300.0,4.6,2.3,4,2,1,2022,High,Senior (46+),1,3.4499999999999997,0.23121387283236994,High,299.29,2890.173410404624,1,0,3,3,0.8620689655172413,18.4,69.2,0.40462427745664736,23.0,2,34.6,37.7,0,4,12.91,2,3,0,0,7,2,0,1,0,1,0
EMP01812,2020-01-26,39.0,Female,Separated,CAR,Master,Customer Service,Regular,Night,18.8,56500.0,1.0,Needs Improvement,30.0,19,30,300.0,2.4,4.0,1,2,1,2020,High,Mid-Career (31-45),0,3.2,0.05319148936170213,High,353.44000000000005,3005.31914893617,0,1,1,2,1.4303797468354431,2.4,18.8,1.0106382978723405,13.56,4,75.2,20.2,0,6,11.959999999999999,4,1,0,1,0,1,2,3,0,0,0
EMP01249,2020-10-21,58.0,Female,Single,NCR,PhD,Compliance,Contractual,Night,13.8,78500.0,3.3,Meets Expectations,34.0,19,6,14.0,2.0,4.0,3,3,1,2020,Very High,Senior (46+),0,3.0,0.21739130434782608,Low,190.44000000000003,5688.405797101449,1,0,2,2,1.5023923444976077,6.6,41.400000000000006,1.3768115942028984,15.7,5,69.0,44.2,0,6,8.76,5,2,0,2,1,0,0,3,3,1,1
EMP04299,2013-06-05,58.0,Male,Widowed,NCR,Bachelor,Sales,Regular,Morning,20.4,51000.0,4.1,Exceeds Expectations,62.0,8,29,4.0,3.5,6.7,6,3,0,2013,High,Senior (46+),1,5.1,0.29411764705882354,High,416.15999999999997,2500.0,0,1,3,0,1.4166666666666667,14.349999999999998,122.39999999999999,0.3921568627450981,17.849999999999998,3,61.199999999999996,37.6,0,0,21.18,3,3,1,3,1,7,2,2,0,1,0
EMP01107,2009-06-26,43.0,Male,Single,NCR,Bachelor,Sales,Regular,Graveyard,14.1,35000.0,5.0,Outstanding,39.0,13,23,10.0,6.7,2.0,5,0,0,2009,Medium,Mid-Career (31-45),1,4.35,0.3546099290780142,High,198.81,2482.2695035460993,0,1,4,3,0.9722222222222222,33.5,70.5,0.9219858156028369,23.45,3,42.3,28.9,0,2,18.17,3,4,1,2,1,7,2,1,2,0,0
EMP01280,2012-02-12,34.0,Male,Single,Region IV-A,Bachelor,Marketing,Project-based,Morning,4.5,36000.0,1.0,Needs Improvement,23.0,14,14,28.0,2.9,6.3,0,0,1,2012,Medium,Mid-Career (31-45),0,4.6,0.0,Moderate,20.25,8000.0,2,0,1,0,0.7272727272727273,2.9,0.0,3.111111111111111,10.44,3,13.5,29.5,0,18,5.5,3,1,1,2,4,5,1,2,2,0,2
EMP02282,2016-08-17,51.0,Female,Married,Region III,Bachelor,IT,Contractual,Night,13.1,62500.0,3.2,Meets Expectations,46.0,11,14,74.0,6.2,7.2,3,1,0,2016,Very High,Senior (46+),0,6.7,0.22900763358778625,Moderate,171.60999999999999,4770.992366412214,1,0,2,2,1.0593220338983051,19.840000000000003,39.3,0.8396946564885497,38.75,3,39.3,37.9,0,4,12.32,3,2,0,0,3,4,0,3,3,1,2
